time_betw_scan_hours,CA,YM,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,40/25 mM glu/lac lav O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2,50 mM Mannose,35 mM Glycolsyre,2 mM PAM,Class
0.279,0.502,0.671,0.264,0.495,0.829,0.873,0.162,0.131,0.779,0.638,0.818,0.635,1.000
0.003,0.273,0.420,0.307,0.364,0.737,0.730,0.293,0.126,0.649,0.368,0.553,0.635,1.000
0.140,0.920,0.420,0.212,0.551,0.856,0.905,0.391,0.086,0.799,0.860,0.758,0.459,1.000
0.292,0.920,0.420,0.283,0.505,0.847,0.879,0.234,0.051,0.760,0.467,0.909,0.635,1.000
0.063,0.273,0.840,0.259,0.495,0.798,0.840,0.198,0.217,0.767,0.397,0.788,0.676,1.000
0.064,0.273,0.420,0.231,0.551,0.818,0.872,0.226,0.131,0.797,0.440,0.742,0.500,1.000
0.128,0.920,0.420,0.283,0.383,0.705,0.753,0.387,0.157,0.751,0.818,0.848,0.689,1.000
0.004,0.920,0.840,0.259,0.729,0.899,0.944,0.346,0.116,0.803,0.589,0.795,0.608,1.000
0.061,0.273,0.000,0.269,0.467,0.847,0.871,0.279,0.000,0.744,0.317,0.856,0.595,1.000
0.093,0.273,0.840,0.269,0.374,0.613,0.549,0.299,0.232,0.495,0.835,0.386,0.635,1.000
0.072,0.599,0.840,0.259,0.402,0.844,0.871,0.282,0.106,0.750,0.278,0.780,0.568,1.000
0.050,0.700,0.809,0.292,0.430,0.774,0.720,0.304,0.268,0.562,0.534,0.735,0.635,1.000
0.083,0.920,0.420,0.278,0.467,0.809,0.857,0.246,0.066,0.782,0.426,0.833,0.581,1.000
0.066,0.667,0.420,0.269,0.336,0.732,0.778,0.447,0.096,0.755,0.276,0.712,0.649,1.000
0.152,0.920,0.420,0.198,0.439,0.812,0.870,0.200,0.081,0.803,0.240,0.803,0.622,1.000
0.071,0.920,0.420,0.222,0.411,0.851,0.884,0.503,0.071,0.765,0.499,0.765,0.568,1.000
0.083,0.920,0.840,0.231,0.542,0.806,0.840,0.317,0.101,0.752,0.546,0.614,0.568,1.000
0.063,0.920,0.386,0.236,0.458,0.875,0.923,0.428,0.066,0.802,0.369,0.909,0.622,1.000
0.076,0.920,0.840,0.283,0.449,0.831,0.861,0.183,0.157,0.750,0.470,0.773,0.622,1.000
0.028,0.792,0.420,0.217,0.374,0.695,0.712,0.333,0.207,0.685,0.639,0.629,0.514,1.000
0.256,0.273,0.420,0.264,0.355,0.830,0.850,0.377,0.015,0.730,0.031,0.591,0.635,1.000
0.137,0.920,0.420,0.269,0.430,0.826,0.830,0.375,0.116,0.696,0.512,0.939,0.649,1.000
0.135,0.920,0.420,0.259,0.458,0.810,0.794,0.395,0.081,0.650,0.409,0.924,0.649,1.000
0.220,0.920,0.420,0.307,0.336,0.667,0.644,0.272,0.323,0.594,0.631,0.871,0.662,1.000
0.002,0.920,0.565,0.241,0.467,0.809,0.856,0.263,0.071,0.780,0.370,0.886,0.595,1.000
0.079,0.920,0.420,0.311,0.383,0.752,0.795,0.509,0.172,0.755,0.756,0.720,0.459,1.000
0.060,0.920,0.420,0.241,0.486,0.860,0.913,0.508,0.071,0.807,0.389,0.894,0.635,1.000
0.010,0.920,0.840,0.259,0.551,0.837,0.877,0.211,0.167,0.773,0.277,0.879,0.649,1.000
0.075,0.747,0.000,0.259,0.439,0.808,0.849,0.428,0.071,0.767,0.549,0.720,0.595,1.000
0.069,0.920,0.840,0.311,0.551,0.830,0.895,0.231,0.056,0.822,0.385,0.886,0.662,1.000
0.056,0.273,0.420,0.283,0.486,0.797,0.838,0.409,0.040,0.763,0.448,0.924,0.676,1.000
0.066,0.273,0.420,0.217,0.523,0.759,0.786,0.268,0.131,0.723,0.421,0.659,0.514,1.000
0.028,0.653,0.840,0.259,0.710,0.824,0.840,0.327,0.126,0.721,0.522,0.811,0.608,1.000
0.213,0.273,0.420,0.278,0.551,0.798,0.857,0.206,0.116,0.802,0.442,0.909,0.649,1.000
0.071,0.748,0.420,0.236,0.551,0.845,0.872,0.287,0.010,0.749,0.698,0.879,0.608,1.000
0.077,0.273,0.420,0.241,0.439,0.845,0.882,0.335,0.056,0.770,0.367,0.674,0.581,1.000
0.078,0.920,0.840,0.307,0.421,0.681,0.702,0.263,0.283,0.689,0.455,0.902,0.608,1.000
0.063,0.733,0.420,0.259,0.402,0.812,0.805,0.371,0.157,0.669,0.254,0.864,0.635,1.000
0.504,0.273,0.420,0.269,0.486,0.774,0.815,0.235,0.152,0.758,0.402,0.871,0.662,1.000
0.243,0.650,0.420,0.255,0.421,0.802,0.848,0.166,0.081,0.775,0.332,0.811,0.554,1.000
0.094,0.920,0.840,0.226,0.495,0.773,0.826,0.177,0.141,0.782,0.778,0.848,0.568,1.000
0.125,0.920,0.420,0.302,0.299,0.774,0.749,0.225,0.116,0.622,0.449,0.758,0.676,1.000
0.141,0.920,0.607,0.269,0.579,0.799,0.829,0.173,0.121,0.742,0.234,0.818,0.541,1.000
0.008,0.920,0.420,0.288,0.477,0.822,0.864,0.336,0.076,0.772,0.441,0.818,0.554,1.000
0.063,0.273,0.840,0.302,0.486,0.627,0.596,0.190,0.293,0.566,0.522,0.841,0.635,1.000
0.211,0.920,0.420,0.292,0.327,0.803,0.821,0.635,0.116,0.720,0.448,0.932,0.676,1.000
0.057,0.599,0.420,0.269,0.430,0.797,0.856,0.284,0.066,0.801,0.607,0.773,0.649,1.000
0.044,0.273,0.840,0.283,0.393,0.825,0.804,0.531,0.141,0.646,0.330,0.902,0.635,1.000
0.162,0.920,0.420,0.292,0.346,0.889,0.908,0.432,0.071,0.745,0.544,0.848,0.595,1.000
0.095,0.634,0.420,0.307,0.514,0.816,0.867,0.316,0.066,0.791,0.536,0.848,0.662,1.000
0.065,0.798,0.420,0.269,0.458,0.794,0.839,0.235,0.091,0.772,0.484,0.705,0.419,1.000
0.142,0.920,0.420,0.198,0.449,0.825,0.860,0.220,0.101,0.760,0.562,0.803,0.527,1.000
0.106,0.920,0.266,0.302,0.393,0.754,0.807,0.316,0.056,0.775,0.457,0.758,0.622,1.000
0.095,0.920,0.420,0.250,0.430,0.817,0.776,0.222,0.222,0.602,0.618,0.864,0.662,1.000
0.081,0.920,0.420,0.321,0.393,0.703,0.726,0.361,0.157,0.699,0.513,0.833,0.622,1.000
0.061,0.920,0.840,0.259,0.458,0.829,0.859,0.213,0.116,0.750,0.345,0.735,0.649,1.000
0.024,0.273,0.382,0.250,0.579,0.780,0.848,0.266,0.101,0.814,0.858,0.848,0.689,1.000
0.083,0.920,0.000,0.292,0.411,0.689,0.650,0.468,0.136,0.569,0.657,0.886,0.662,1.000
0.073,0.920,0.420,0.292,0.364,0.666,0.681,0.271,0.212,0.671,0.912,0.742,0.541,1.000
0.179,0.920,0.420,0.274,0.467,0.833,0.868,0.365,0.061,0.763,0.319,0.932,0.676,1.000
0.118,0.920,0.840,0.203,0.514,0.819,0.861,0.218,0.116,0.772,0.579,0.795,0.527,1.000
0.360,0.273,0.420,0.297,0.364,0.760,0.738,0.258,0.096,0.625,0.424,0.720,0.446,1.000
0.051,0.592,0.840,0.250,0.439,0.847,0.897,0.382,0.116,0.796,0.407,0.674,0.662,1.000
0.201,0.920,0.434,0.274,0.430,0.847,0.886,0.372,0.010,0.774,0.518,0.750,0.649,1.000
0.081,0.273,0.420,0.259,0.449,0.776,0.806,0.166,0.106,0.736,0.685,0.833,0.622,1.000
0.300,0.920,0.420,0.269,0.514,0.889,0.904,0.228,0.056,0.737,0.634,0.682,0.514,1.000
0.070,0.920,0.420,0.283,0.374,0.798,0.831,0.438,0.005,0.749,0.393,0.924,0.703,1.000
