time_betw_scan_hours,CA,YM,Class,dea_eff,cluster efficency - 5 clusters
4552.000,2.570,5.593,1.000,0.250,4.000
1144.000,2.647,6.397,1.000,0.430,4.000
8835.000,2.558,5.983,1.000,0.360,4.000
170.000,2.273,6.043,1.000,0.450,1.000
1127.000,2.618,5.818,1.000,0.570,3.000
1324.000,2.550,6.624,1.000,0.510,1.000
1541.000,2.553,6.028,1.000,0.570,3.000
3703.000,2.614,5.839,1.000,0.570,3.000
1784.000,2.413,6.134,1.000,0.580,3.000
1589.000,2.651,6.175,1.000,0.400,4.000
3365.000,2.573,6.626,1.000,0.480,1.000
1494.000,2.726,6.244,1.000,0.570,3.000
3395.000,2.410,6.193,1.000,0.470,1.000
120.000,2.559,5.603,1.000,0.330,4.000
5945.000,2.251,6.164,1.000,0.270,4.000
7221.000,2.860,6.353,1.000,0.660,2.000
1854.000,2.543,6.169,1.000,0.410,4.000
187.000,2.690,6.334,1.000,0.320,4.000
2321.000,2.816,6.582,1.000,0.590,3.000
35.000,2.894,6.166,1.000,0.490,1.000
2021.000,2.527,6.862,1.000,0.650,3.000
3198.000,2.681,5.800,1.000,0.560,3.000
1607.000,2.390,5.940,1.000,0.340,4.000
2106.000,2.640,5.835,1.000,0.570,3.000
1386.000,2.346,6.939,1.000,0.460,1.000
1069.000,2.571,5.961,1.000,0.440,4.000
2010.000,2.769,6.683,1.000,0.480,1.000
1336.000,2.810,5.763,1.000,0.630,3.000
489.000,2.706,6.669,1.000,0.590,3.000
2643.000,2.568,6.125,1.000,0.520,1.000
896.000,2.555,6.620,1.000,0.460,1.000
1773.000,2.760,6.156,1.000,0.460,1.000
1325.000,2.622,6.253,1.000,0.510,1.000
1772.000,2.613,6.520,1.000,0.440,4.000
1252.000,2.593,7.028,1.000,0.560,3.000
1391.000,2.755,5.243,1.000,0.520,1.000
5871.000,2.567,5.750,1.000,0.380,4.000
1294.000,2.698,5.930,1.000,0.470,1.000
1695.000,2.599,6.233,1.000,0.570,3.000
1209.000,2.700,5.344,1.000,0.610,3.000
