time_betw_scan_hours,CA,YM,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,40/25 mM glu/lac lav O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2,50 mM Mannose,35 mM Glycolsyre,2 mM PAM
735.000,3.000,6.000,2.070,10.300,41.100,40.020,611.000,5.500,-1.080,13.280,-0.060,-0.010
3005.000,3.000,6.582,1.930,13.500,40.960,40.250,325.000,5.000,-0.710,9.680,-0.170,-0.060
1249.000,2.638,6.000,2.070,10.400,39.850,38.070,618.000,8.600,-1.780,11.460,-0.350,-0.120
5838.000,2.477,6.000,1.990,10.400,40.610,39.970,691.000,5.000,-0.640,9.370,-0.030,0.000
1626.000,3.000,6.000,1.950,10.300,40.830,40.350,612.000,5.900,-0.480,11.020,-0.290,-0.060
1278.000,2.533,6.000,1.940,10.700,37.610,37.280,317.000,8.500,-0.330,9.480,0.030,-0.030
1080.000,2.864,6.000,1.990,11.600,40.990,40.770,435.000,6.100,-0.220,11.110,-0.040,-0.020
5473.000,2.607,5.978,2.060,12.100,41.750,40.990,278.000,5.900,-0.760,11.500,-0.310,-0.130
490.000,2.000,7.000,1.990,10.600,41.440,40.200,562.000,9.000,-1.240,11.420,-0.060,-0.030
2649.000,2.769,7.000,1.940,11.700,41.510,40.810,403.000,5.800,-0.700,11.140,-0.330,-0.170
1496.000,2.000,6.000,1.960,10.400,41.000,40.020,566.000,5.400,-0.980,14.100,-0.320,-0.070
1621.000,2.596,6.000,1.980,12.300,41.320,40.530,287.000,7.500,-0.790,12.390,-0.090,-0.010
4629.000,3.000,7.000,1.950,9.100,39.270,37.210,507.000,7.600,-2.060,11.020,-0.150,-0.010
1568.000,2.384,6.626,1.980,13.100,40.820,40.310,242.000,7.300,-0.510,12.170,-0.300,-0.040
1706.000,2.572,6.000,2.070,9.800,40.900,40.670,593.000,5.200,-0.230,15.140,-0.030,0.020
