bcr_dir,RunNumberPartNumberID,RunNumber,PartNumber,ca_time,ym_time,Sensor,BoardNumber,ArrayNumber,time_betw_scan_min,CA,CA Humidity,CA Temperature,YM,YM Humidity,YM Temperature,CA_cav_dia,CA_void_cav,CA_cav_depth,Ca_void_mem,CA_overlap_min,CA_overlap_max,YM_void_mem,Class,Tid efter start [timer],2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2,DEA
932-029-R28998-N008-A6-Failed,27161,R28998,932-029,22-03-2021 11:32,23-03-2021 05:18,Glu,8,6,1075,2.238,30.07,27.14,6.359,29.11,25.92,1177.59,22.402,60.165,31.282,110.778,211.005,30.356,Failed,1.35,0.12,0.7,6.79,538,14.4,7.27,1.0
932-029-R28990-N008-A15-Failed,27153,R28990,932-029,21-03-2021 10:10,23-03-2021 04:40,Glu,8,15,1259,2.6630000000000003,26.43,28.48,6.232,33.09,26.06,1162.95,21.486,67.575,30.226,26.277,199.707,28.742,Failed,1.82,0.25,1.5,3.95,529,1.6,0.26,0.79
932-029-R28990-N002-A4-Failed,27153,R28990,932-029,21-03-2021 09:52,23-03-2021 04:10,Glu,2,4,1273,2.714,25.98,28.71,6.8210000000000015,33.2,26.66,1152.73,20.806,65.89699999999999,29.885,89.34299999999998,210.218,28.215,Failed,1.8,0.16,1.1,2.18,384,7.0,0.7,0.7
,27156,R28993,932-029,21-03-2021 10:36,23-03-2021 02:38,Glu,8,12,1663,2.364,25.96,28.52,6.718,32.96,26.68,1158.74,22.021,70.308,30.704,94.952,211.005,28.806,Failed,1.68,0.22,0.8,4.04,475,5.1,0.91,0.72
932-029-R28974-N001-A1-Failed,27074,R28974,932-029,21-03-2021 12:02,23-03-2021 00:58,Glu,1,1,1561,2.654,26.13,28.92,6.772,33.68,26.61,1167.93,21.795,72.062,31.564,84.087,194.452,30.683000000000003,Failed,1.78,0.18,1.8,4.78,487,0.9,0.75,0.87
932-029-R28980-N008-A14-Failed,27080,R28980,932-029,21-03-2021 12:48,23-03-2021 00:54,Glu,8,14,1656,2.652,26.64,28.31,6.607,33.68,26.82,1167.66,24.667,77.452,31.167,105.541,211.081,32.843,Failed,1.38,0.18,2.2,4.92,495,5.0,0.44,0.93
932-029-R28979-N003-A16-Failed,27079,R28979,932-029,21-03-2021 11:44,22-03-2021 21:10,Glu,3,16,1397,2.5610000000000004,26.28,28.8,5.608,33.77,26.24,1177.54,24.238000000000003,71.822,29.732,84.432,158.311,32.041,Failed,1.57,0.22,0.3,4.22,709,0.8,1.8,0.82
932-029-R28979-N002-A3-Failed,27079,R28979,932-029,21-03-2021 11:40,22-03-2021 21:06,Glu,2,3,1399,2.45,26.28,28.78,5.292000000000002,33.7,26.01,1175.96,24.142,71.402,29.952,94.987,174.142,31.911,Failed,1.58,0.23,0.1,5.06,930,0.2,1.67,1.0
932-029-R28979-N001-A11-Failed,27079,R28979,932-029,21-03-2021 11:38,22-03-2021 21:00,Glu,1,11,1399,2.356,26.08,28.77,5.49,33.57,26.08,1163.55,24.689,76.204,30.742,110.818,184.696,32.82,Failed,1.62,0.23,0.1,4.57,856,0.5,0.89,0.93
932-029-R28960-N001-A4-Failed,27060,R28960,932-029,21-03-2021 11:14,22-03-2021 20:10,Glu,1,4,1296,2.649,25.8,28.71,6.244,33.09,26.24,1152.8,21.84800000000001,59.915,26.019,120.741,188.985,30.032,Failed,1.55,0.08,0.8,7.66,140,0.1,0.33,1.0
932-029-R28969-N001-A2-Failed,27069,R28969,932-029,21-03-2021 13:38,22-03-2021 18:02,Glu,1,2,1036,2.589,26.8,28.34,5.785,34.02,26.38,1160.77,24.831,60.395,31.588,116.095,211.081,34.968,Failed,1.68,0.2,0.1,5.36,525,0.9,0.56,0.84
932-029-R28936-N008-A1-Failed,27012,R28936,932-029,21-03-2021 09:46,22-03-2021 17:46,Glu,8,1,1215,2.594,25.93,28.61,7.1,32.91,26.24,1186.0,24.658,55.68600000000001,29.44,104.992,178.486,31.991,Failed,1.65,0.3,1.5,4.4,446,5.7,0.06,0.79
932-029-R28944-N003-A6-Failed,27020,R28944,932-029,20-03-2021 15:32,22-03-2021 14:38,Glu,3,6,1705,2.593,27.07,27.23,5.89,32.91,25.9,1149.61,22.537,63.558,29.17,137.203,211.081,32.83,Failed,1.58,0.26,0.6,5.29,470,0.9,0.13,0.81
932-029-R28944-N001-A6-Failed,27020,R28944,932-029,20-03-2021 15:26,22-03-2021 14:28,Glu,1,6,1706,2.468,27.36,27.12,5.692,32.37,25.6,1158.73,22.565,60.70399999999999,28.645,89.71,205.804,32.188,Failed,1.67,0.26,0.4,5.36,435,0.8,0.24,0.79
